City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tweed heads,-28.1817,153.547,72.41,57,5,10.36,AU,1692584380
1,albany,42.6001,-73.9662,64.99,87,66,2.98,US,1692584380
2,sitka,57.0531,-135.33,66.09,59,20,17.27,US,1692584089
3,bilibino,68.0546,166.4372,48.67,49,43,1.66,RU,1692584105
4,severo-yeniseyskiy,60.3725,93.0408,54.14,86,100,2.51,RU,1692584383
5,puerto natales,-51.7236,-72.4875,28.69,93,100,1.92,CL,1692584081
6,waitangi,-43.9535,-176.5597,52.83,96,100,3.0,NZ,1692584085
7,placido de castro,-10.3353,-67.1856,86.16,48,66,4.16,BR,1692584385
8,qaqortoq,60.7167,-46.0333,47.41,70,0,1.3,GL,1692584088
9,grytviken,-54.2811,-36.5092,22.53,64,59,4.76,GS,1692584100
10,roses,42.262,3.1769,78.73,67,1,3.0,ES,1692584387
11,miquelon,47.0975,-56.3814,64.4,94,96,12.33,PM,1692584095
12,talnakh,69.4865,88.3972,58.21,78,100,2.64,RU,1692584137
13,mountain top,40.1068,-75.9527,68.56,77,0,0.0,US,1692584388
14,aasiaat,68.7098,-52.8699,40.66,96,94,7.76,GL,1692584251
15,touros,-5.1989,-35.4608,76.17,89,62,13.76,BR,1692583835
16,port-aux-francais,-49.35,70.2167,33.75,66,71,17.81,TF,1692584092
17,olonkinbyen,70.9221,-8.7187,42.96,98,100,27.36,SJ,1692584094
18,bethel,41.3712,-73.414,68.61,80,0,3.44,US,1692584136
19,uige,-7.6087,15.0613,65.46,86,98,2.71,AO,1692584395
20,blackmans bay,-43.0167,147.3167,62.46,53,84,9.06,AU,1692584083
21,karratha,-20.7377,116.8463,82.4,19,5,10.27,AU,1692584408
22,santa maria del oro,25.9333,-105.3667,78.15,29,100,12.84,MX,1692584409
23,puerto ayora,-0.7393,-90.3518,76.55,89,95,10.0,EC,1692584109
24,walvis bay,-22.9575,14.5053,52.09,75,0,8.52,NA,1692584411
25,west island,-12.1568,96.8225,80.58,78,40,12.66,CC,1692584129
26,ushuaia,-54.8,-68.3,40.66,56,40,8.05,AR,1692584085
27,praia da vitoria,38.7333,-27.0667,70.05,100,75,9.24,PT,1692584223
28,formosa,-26.1775,-58.1781,65.97,88,0,3.44,AR,1692584413
29,jinchang,38.4953,102.1739,77.2,17,0,5.37,CN,1692584414
30,saudarkrokur,65.7461,-19.6394,43.7,88,65,12.97,IS,1692584349
31,sinabang,2.4803,96.3801,80.92,80,100,6.98,ID,1692584416
32,middelburg,-25.7751,29.4648,57.74,46,29,7.07,ZA,1692584417
33,flin flon,54.7682,-101.865,64.45,49,93,3.91,CA,1692584418
34,tiksi,71.6872,128.8694,38.17,93,100,14.94,RU,1692584171
35,ugoofaaru,5.6667,73.0,82.35,70,0,11.77,MV,1692584420
36,georgetown,5.4112,100.3354,84.63,79,20,4.61,MY,1692584001
37,tralee,52.2704,-9.7026,57.34,95,9,6.31,IE,1692584421
38,susuman,62.7833,148.1667,43.18,89,100,4.32,RU,1692584246
39,anadyr,64.75,177.4833,55.0,47,20,8.95,RU,1692584193
40,isafjordur,66.0755,-23.124,44.26,77,3,3.69,IS,1692584080
41,edinburgh of the seven seas,-37.0676,-12.3116,57.9,88,100,34.25,SH,1692584090
42,ketchikan,55.3422,-131.6461,63.07,72,75,9.22,US,1692584426
43,hermanus,-34.4187,19.2345,53.8,87,86,27.31,ZA,1692584084
44,carnarvon,-24.8667,113.6333,64.67,56,11,20.47,AU,1692584328
45,hithadhoo,-0.6,73.0833,81.03,77,86,4.54,MV,1692584279
46,long jetty,-33.3667,151.4833,68.85,54,62,6.17,AU,1692584430
47,port alfred,-33.5906,26.891,63.75,34,0,11.72,ZA,1692584174
48,tarnogskiy gorodok,60.4997,43.5761,45.14,85,83,4.59,RU,1692584432
49,beboto,8.2668,16.939,70.63,97,100,1.32,TD,1692584434
50,veraval,20.9,70.3667,79.72,82,100,12.88,IN,1692584434
51,port elizabeth,-33.918,25.5701,59.29,94,40,16.11,ZA,1692583974
52,abay,49.6311,72.8539,64.78,63,5,1.36,KZ,1692584436
53,bredasdorp,-34.5322,20.0403,56.07,80,57,17.09,ZA,1692584106
54,neiafu,-18.65,-173.9833,81.28,78,20,8.05,TO,1692584438
55,winburg,-28.518,27.0093,44.6,16,0,5.41,ZA,1692584438
56,yellowknife,62.456,-114.3525,61.41,96,75,5.75,CA,1692584087
57,vlahita,46.35,25.5167,58.71,79,6,3.69,RO,1692584440
58,hood river,45.7054,-121.5215,80.8,27,100,1.99,US,1692584438
59,longyearbyen,78.2186,15.6401,40.84,81,100,2.3,SJ,1692584207
60,dellys,36.9172,3.9131,76.48,81,0,6.58,DZ,1692584442
61,kodiak,57.79,-152.4072,58.84,75,99,5.12,US,1692584124
62,agua dulce,18.1333,-94.1333,79.05,86,12,8.43,MX,1692584443
63,wailua homesteads,22.0669,-159.378,82.44,73,40,14.97,US,1692584132
64,kingston,17.997,-76.7936,84.4,87,20,6.91,JM,1692584123
65,cidade velha,14.9167,-23.6167,79.27,89,75,3.44,CV,1692584445
66,hammerfest,70.6634,23.6821,41.45,93,100,6.91,NO,1692584179
67,puerto armuelles,8.2833,-82.8667,77.09,87,100,4.0,PA,1692584297
68,vernon,50.2581,-119.2691,74.08,33,67,0.0,CA,1692584371
69,kuanda,56.3161,116.0806,55.81,85,98,4.56,RU,1692584447
70,ribeira grande,38.5167,-28.7,71.78,82,35,15.01,PT,1692584247
71,college,64.8569,-147.8028,53.38,91,100,13.8,US,1692584166
72,ribeira brava,32.65,-17.0667,77.09,49,17,1.99,PT,1692584449
73,alva,56.1528,-3.8051,60.24,92,41,6.4,GB,1692584450
74,tromso,69.6496,18.957,46.42,87,93,3.44,NO,1692584451
75,bandarbeyla,9.4942,50.8122,77.0,82,20,22.5,SO,1692584452
76,weno,7.4515,151.8468,84.15,79,100,12.66,FM,1692584099
77,dudinka,69.4058,86.1778,58.62,69,100,3.15,RU,1692584195
78,uturoa,-16.7333,-151.4333,77.49,76,68,16.11,PF,1692584135
79,vilyuchinsk,52.9306,158.4028,59.25,93,99,0.72,RU,1692584178
80,port mathurin,-19.6833,63.4167,73.33,80,35,14.2,MU,1692584099
81,yeonggwang,35.275,126.5094,91.06,64,44,11.59,KR,1692584457
82,toppenish,46.3774,-120.3087,81.12,13,100,7.85,US,1692584458
83,ambon,-3.6954,128.1814,77.14,88,75,3.44,ID,1692584458
84,iqaluit,63.7506,-68.5145,38.7,100,100,0.0,CA,1692584111
85,thompson,55.7435,-97.8558,59.16,94,75,5.75,CA,1692584152
86,papatowai,-46.5619,169.4708,48.04,60,42,13.6,NZ,1692584149
87,sao joao da barra,-21.6403,-41.0511,70.92,94,92,6.08,BR,1692584462
88,tocopilla,-22.092,-70.1979,64.89,68,11,3.74,CL,1692584463
89,avarua,-21.2078,-159.775,73.45,56,100,6.91,CK,1692584209
90,galliano,29.4422,-90.2992,87.19,62,0,5.75,US,1692584465
91,haiku-pauwela,20.9219,-156.3051,82.26,66,75,18.41,US,1692584130
92,canete,-37.8,-73.4,55.26,98,100,9.44,CL,1692584467
93,gurupi,-11.7292,-49.0686,85.62,28,69,3.11,BR,1692584467
94,lebu,-37.6167,-73.65,54.93,97,100,15.1,CL,1692584145
95,adamstown,-25.066,-130.1015,65.32,59,100,20.15,PN,1692584097
96,hamilton,39.1834,-84.5333,79.9,77,0,5.75,US,1692584260
97,pratt,37.6439,-98.7376,93.38,31,0,4.61,US,1692584472
98,quellon,-43.1167,-73.6167,50.25,93,100,6.91,CL,1692584473
99,punta arenas,-53.15,-70.9167,36.88,89,87,10.11,CL,1692583861
100,lalsot,26.5667,76.3333,85.98,67,98,5.41,IN,1692584474
101,tokar,18.4254,37.729,88.93,55,83,12.53,SD,1692584475
102,luderitz,-26.6481,15.1594,53.71,60,0,6.93,NA,1692584156
103,valdivia,-39.8142,-73.2459,53.69,98,100,6.58,CL,1692584476
104,saipan,15.1355,145.701,86.65,100,40,8.05,MP,1692584183
105,novodvinsk,64.4165,40.8122,47.52,80,100,6.73,RU,1692584478
106,saynshand,44.8824,110.1163,60.49,61,42,20.51,MN,1692584479
107,san patricio,28.017,-97.5169,86.29,56,100,10.22,US,1692584172
108,hadibu,12.65,54.0333,79.18,81,28,14.03,YE,1692584481
109,moose jaw,50.4001,-105.5344,61.05,63,100,11.5,CA,1692584481
110,qusmuryn,52.4503,64.6311,65.88,78,24,2.35,KZ,1692584482
111,minot air force base,48.4209,-101.3391,57.15,97,75,5.75,US,1692584169
112,bel ombre,-4.6167,55.4167,78.64,83,20,11.5,SC,1692584483
113,el rama,12.1596,-84.2195,76.24,96,96,3.36,NI,1692584484
114,ust-nera,64.5667,143.2,44.24,97,100,6.38,RU,1692584082
115,nyagan,62.1406,65.3936,52.07,76,96,3.89,RU,1692584485
116,jebrail,39.3992,47.0283,71.62,41,3,2.26,AZ,1692584486
117,saint-philippe,-21.3585,55.7679,65.79,75,0,5.99,RE,1692584315
118,beaufort west,-32.3567,22.583,53.02,31,13,18.99,ZA,1692584487
119,dunedin,-45.8742,170.5036,49.8,53,73,14.0,NZ,1692584293
120,broome,42.2506,-75.833,68.38,87,3,3.0,US,1692584489
121,sanya,18.2431,109.505,86.16,74,40,4.47,CN,1692584489
122,margaret river,-33.95,115.0667,56.82,56,13,10.04,AU,1692584094
123,pangody,65.85,74.4859,51.28,62,45,6.69,RU,1692584340
124,yuzhno-kurilsk,44.0306,145.8556,72.05,88,99,2.42,RU,1692584272
125,mata de sao joao,-12.5303,-38.2992,78.55,98,22,2.89,BR,1692584491
126,saint-denis,48.9167,2.3333,65.86,77,0,6.91,FR,1692584492
127,san antonio de pale,-1.4014,5.6325,74.08,79,100,9.86,GQ,1692584214
128,sanctuary point,-35.1114,150.629,65.59,45,28,5.41,AU,1692584493
129,tolanaro,-25.0319,46.9987,66.87,86,100,4.61,MG,1692584269
130,jawf al maqbabah,13.8378,45.8349,80.55,59,97,2.64,YE,1692584495
131,kasongo-lunda,-6.4667,16.8167,72.54,72,84,3.29,CD,1692584496
132,upper grand lagoon,30.1633,-85.7408,85.75,72,0,10.36,US,1692584496
133,utrik,11.2278,169.8474,83.55,75,100,15.57,MH,1692584250
134,dodoma,-6.1722,35.7395,64.13,65,8,6.76,TZ,1692584497
135,westport,41.1415,-73.3579,71.56,85,0,3.44,US,1692584498
136,jamestown,42.097,-79.2353,72.99,78,100,3.44,US,1692583937
137,kavaratti,10.5669,72.642,82.09,73,8,12.8,IN,1692584193
138,kununurra,-15.7667,128.7333,84.18,16,13,10.36,AU,1692584500
139,kandahar,31.0,65.75,76.42,10,3,3.24,AF,1692584500
140,flying fish cove,-10.4217,105.6791,78.48,83,100,13.8,CX,1692584162
141,ad dabbah,18.05,30.95,94.95,19,97,11.95,SD,1692584501
142,lospalos,-8.5186,127.0025,77.79,52,11,12.77,TL,1692584213
143,la ronge,55.1001,-105.2842,64.65,55,40,3.44,CA,1692584115
144,ariano irpino-martiri,41.1489,15.0833,70.54,71,0,2.1,IT,1692584503
145,rio verde de mato grosso,-18.9181,-54.8442,78.67,48,52,5.48,BR,1692584503
146,chernyshevskiy,63.0128,112.4714,58.8,46,41,7.2,RU,1692584504
147,queenstown,-31.8976,26.8753,52.3,18,0,10.29,ZA,1692584504
148,sinop,41.7711,34.8709,65.73,59,0,3.4,TR,1692584212
149,nanfeng,23.7434,111.7959,82.98,84,100,1.61,CN,1692584506
150,invercargill,-46.4,168.35,48.02,72,77,8.99,NZ,1692584122
151,levuka,50.1834,-105.4011,60.51,50,100,11.68,CA,1692584507
152,vanino,49.0869,140.2543,82.9,39,1,4.12,RU,1692584508
153,slave lake,55.2834,-114.769,64.38,55,0,6.91,CA,1692584508
154,burutu,5.3509,5.5076,76.78,91,100,4.21,NG,1692584509
155,chipata,-13.6333,32.65,63.32,47,0,4.0,ZM,1692584510
156,patong,7.8961,98.2966,86.02,75,88,9.75,TH,1692584210
157,fort leonard wood,37.7057,-92.1572,83.91,78,0,3.44,US,1692584511
158,nhamunda,-2.1861,-56.7131,79.65,44,93,3.62,BR,1692584511
159,las varillas,-31.8721,-62.7195,48.33,67,2,7.78,AR,1692584512
160,port-vila,-17.7338,168.3219,76.6,65,100,18.41,VU,1692584513
161,coxen hole,16.3244,-86.5366,81.68,83,20,5.75,HN,1692584513
162,nacala,-14.5428,40.6728,68.36,94,0,2.98,MZ,1692584514
163,katsuura,35.1333,140.3,84.97,76,35,10.2,JP,1692584515
164,vila franca do campo,37.7167,-25.4333,75.61,94,100,6.96,PT,1692584236
165,minas de marcona,-15.2119,-75.1103,60.67,68,93,5.68,PE,1692584237
166,santa cruz del norte,23.1539,-81.9236,77.81,89,100,9.86,CU,1692584516
167,berdigestyakh,62.0989,126.6992,56.88,72,85,4.29,RU,1692584517
168,bakanas,44.8081,76.2772,78.51,21,35,9.35,KZ,1692584518
169,ola,59.5833,151.2833,57.15,88,100,9.1,RU,1692584518
170,sestri levante,44.2732,9.3968,83.21,42,0,6.87,IT,1692584519
171,port saint john's,-31.6229,29.5448,62.87,61,0,5.64,ZA,1692584520
172,mil'kovo,55.6078,37.7956,57.31,88,63,8.16,RU,1692584249
173,egilsstadir,65.2653,-14.3948,46.31,71,75,13.8,IS,1692584323
174,khash,28.2211,61.2158,75.45,14,3,5.61,IR,1692584521
175,moyobamba,-6.05,-76.9667,73.27,70,36,1.1,PE,1692584522
176,cabo san lucas,22.8909,-109.9124,84.2,76,100,11.5,MX,1692584322
177,paita,-5.0892,-81.1144,69.15,85,13,12.46,PE,1692584367
178,rongelap,11.1635,166.8941,83.8,76,100,14.72,MH,1692584524
179,vadso,70.0744,29.7487,42.96,87,40,10.36,NO,1692584210
180,petropavlovsk-kamchatsky,53.0452,158.6483,57.79,100,75,11.18,RU,1692584130
181,stanley,54.868,-1.6985,54.55,87,0,1.14,GB,1692584526
182,kovdor,67.5662,30.4758,42.1,86,17,1.01,RU,1692584527
183,naifaru,5.4444,73.3657,82.35,70,0,12.15,MV,1692584528
184,akrehamn,59.2667,5.1833,61.05,88,100,13.8,NO,1692584528
185,buurhakaba,2.8026,44.0781,76.05,77,100,13.91,SO,1692584529
186,kruisfontein,-34.0033,24.7314,54.88,86,3,10.51,ZA,1692584529
187,korla,41.7597,86.1469,84.56,21,1,6.62,CN,1692584530
188,nykobing sjaelland,55.9249,11.6711,60.08,92,5,10.98,DK,1692584531
189,tabou,4.423,-7.3528,76.08,91,74,8.59,CI,1692584531
190,ghat,24.9647,10.1728,84.11,17,1,2.01,LY,1692584532
191,port douglas,-16.4833,145.4667,73.85,62,85,14.18,AU,1692584259
192,happy valley-goose bay,53.3168,-60.3315,66.51,72,75,13.8,CA,1692584321
193,ilulissat,69.2167,-51.1,57.22,67,100,18.41,GL,1692584088
194,urzhar,47.093,81.6294,75.33,29,13,2.42,KZ,1692584348
195,opuwo,-18.0607,13.84,64.18,32,0,4.99,NA,1692584536
196,hawaiian paradise park,19.5933,-154.9731,80.58,80,100,8.05,US,1692584132
197,puerto baquerizo moreno,-0.9,-89.6,74.55,78,80,13.31,EC,1692584107
198,itoman,26.1247,127.6694,86.14,82,75,10.36,JP,1692584538
199,ratnagiri,16.9833,73.3,78.6,84,13,1.81,IN,1692584539
200,mitu,1.1983,-70.1733,73.78,95,32,0.94,CO,1692584539
201,prince rupert,54.3161,-130.3201,58.03,85,0,12.66,CA,1692584459
202,st. john's,47.5649,-52.7093,67.28,96,100,13.8,CA,1692584510
203,paracale,14.2804,122.7881,88.32,62,74,4.5,PH,1692584541
204,newman,37.3138,-121.0208,82.35,62,100,1.99,US,1692584103
205,aginskoye,51.1,114.53,62.71,51,53,13.98,RU,1692584543
206,nizhniy kuranakh,58.8353,125.4869,55.9,93,100,7.49,RU,1692584543
207,chon daen,16.1895,100.8596,81.28,83,100,4.09,TH,1692584544
208,las vegas,36.175,-115.1372,76.5,70,75,24.0,US,1692584460
209,luganville,-15.5333,167.1667,75.51,88,100,11.79,VU,1692584546
210,dori,14.0354,-0.0345,82.42,65,89,11.41,BF,1692584547
211,ceeldheer,3.8488,47.1806,76.69,89,100,13.85,SO,1692584549
212,nova sintra,14.8667,-24.7167,72.84,85,100,7.23,CV,1692584081
213,kourou,5.1552,-52.6478,78.85,83,80,10.94,GF,1692584550
214,maragogi,-9.0122,-35.2225,75.38,89,85,8.37,BR,1692584550
215,bouake,7.6895,-5.0218,70.25,98,100,4.0,CI,1692584551
216,shenjiamen,29.9576,122.298,82.99,79,2,17.67,CN,1692584551
217,jardim de piranhas,-6.3786,-37.3519,78.13,71,83,16.64,BR,1692584552
218,udachny,66.4167,112.4,53.46,57,61,14.5,RU,1692584229
219,badger,64.8,-147.5333,54.43,91,100,13.8,US,1692584200
220,ulladulla,-35.35,150.4667,65.88,46,8,3.13,AU,1692584555
221,whitehorse,60.7161,-135.0538,68.99,34,75,11.5,CA,1692584196
222,grand falls-windsor,48.9332,-55.6649,60.51,94,96,6.6,CA,1692584260
223,codajas,-3.8367,-62.0569,81.79,47,0,2.68,BR,1692584557
224,wolsztyn,52.1155,16.1171,66.97,89,29,5.17,PL,1692584558
225,cadale,2.7603,46.3222,77.54,88,97,13.0,SO,1692584559
226,enewetak,11.3474,162.3373,84.38,77,88,19.33,MH,1692584192
227,fale old settlement,-9.3852,-171.2468,83.25,75,87,18.59,TK,1692584560
228,calama,-22.4667,-68.9333,48.69,11,0,8.05,CL,1692584543
229,okha,53.5739,142.9478,75.13,47,22,12.01,RU,1692584561
230,island harbour,50.724,-1.2758,60.82,92,4,3.0,GB,1692584562
231,nar'yan-mar,67.6713,53.087,42.94,94,99,9.91,RU,1692584562
232,san matias,-16.3667,-58.4,82.56,36,6,4.68,BO,1692584563
233,jamul,32.717,-116.8761,66.22,93,75,18.41,US,1692584563
234,hobyo,5.3505,48.5268,76.95,88,92,18.32,SO,1692584564
235,alaghsas,17.0187,8.0168,85.15,53,100,7.63,NE,1692584564
236,hakui,36.8833,136.7833,95.92,59,1,5.01,JP,1692584565
237,mirny,62.5353,113.9611,55.24,62,20,8.99,RU,1692584565
238,kristiansund,63.1115,7.732,59.65,94,75,3.44,NO,1692584566
239,ta`u,-14.2336,-169.5144,80.62,77,65,17.83,AS,1692584143
240,arauquita,7.0292,-71.4281,76.3,91,100,1.77,CO,1692584567
241,funadhoo,6.15,73.2667,82.56,71,0,11.77,MV,1692584567
242,mayya,61.7333,130.2811,56.32,89,100,8.48,RU,1692584568
243,atmore,31.0238,-87.4939,81.73,81,0,5.55,US,1692584569
244,port macquarie,-31.4333,152.9167,71.89,58,10,11.27,AU,1692584053
245,asosa,10.0667,34.5333,60.49,89,100,4.23,ET,1692584570
246,mugia,43.1041,-9.2179,67.91,90,100,14.38,ES,1692584570
247,jijiga,9.35,42.8,65.79,56,100,17.25,ET,1692584571
248,daru,-9.0763,143.2092,78.12,76,84,15.64,PG,1692584271
249,lazaro cardenas,17.9583,-102.2,82.87,77,100,5.03,MX,1692584572
250,bangar,16.8936,120.4243,86.61,69,68,3.91,PH,1692584573
251,ibi,38.6253,-0.5723,70.59,93,2,1.72,ES,1692584573
252,tura,25.5198,90.2201,79.45,87,100,4.23,IN,1692584215
253,broken hill,-31.95,141.4333,67.37,39,94,17.09,AU,1692584574
254,timbuktu,16.7735,-3.0074,91.2,40,71,11.01,ML,1692584575
255,ancud,-41.8697,-73.8203,49.98,96,100,15.88,CL,1692584115
256,keflavik,64.0049,-22.5624,50.41,76,0,17.27,IS,1692584576
257,christchurch,-43.5333,172.6333,54.57,54,66,23.02,NZ,1692584302
258,suoyarvi,62.0833,32.35,53.73,76,70,3.87,RU,1692584577
259,nyurba,63.2842,118.3319,58.26,47,100,8.23,RU,1692584578
260,mejit,10.2753,170.8646,83.03,79,99,18.05,MH,1692584579
261,crane,31.3974,-102.3501,89.55,26,0,12.12,US,1692584186
262,lake havasu city,34.4839,-114.3224,86.05,60,99,26.46,US,1692584531
263,iskateley,67.6803,53.1512,42.84,94,100,9.84,RU,1692584580
264,llaillay,-32.85,-70.9667,59.25,73,100,3.42,CL,1692584581
265,blackwater,-23.5833,148.8833,75.69,63,0,10.25,AU,1692584581
266,pointe-noire,-4.7761,11.8635,69.96,92,20,4.61,CG,1692584582
267,worland,44.0169,-107.9554,67.3,63,0,4.61,US,1692584322
268,amursk,50.2261,136.8994,79.86,44,22,13.58,RU,1692584585
269,ormara,25.2088,64.6357,79.72,80,28,12.12,PK,1692584587
270,sa'dah,16.9402,43.7639,71.29,29,27,3.78,YE,1692584588
271,vila do maio,15.1333,-23.2167,79.59,88,100,3.04,CV,1692584588
272,porto novo,6.4965,2.6036,75.54,92,100,4.65,BJ,1692584589
273,arraial do cabo,-22.9661,-42.0278,68.41,95,65,12.19,BR,1692584219
274,rio grande,-32.035,-52.0986,48.94,80,76,6.33,BR,1692584317
275,mount isa,-20.7333,139.5,78.57,22,0,8.05,AU,1692584591
276,el playon,7.4713,-73.2031,79.07,96,99,4.29,CO,1692584591
277,nuuk,64.1835,-51.7216,48.81,81,17,15.01,GL,1692584366
278,thinadhoo,0.5333,72.9333,81.36,77,98,10.02,MV,1692584347
279,peace river,56.2501,-117.286,70.11,52,20,4.61,CA,1692584594
280,wusong,30.95,117.7833,86.36,68,19,9.91,CN,1692584594
